region_code,region_name,year,hiv_total,hiv_h,hiv_f,hiv_m,hep_b_total,hep_c_total,hep_b_m,hep_b_f,following,loss_of_follow,new_users,population,pct_new_users,pct_following,health_expend,cash_transfer_expend,gdpp,pop20_24,covid_per_capita,state_code
110003,Jaru,2019,7,0,2,5,106.0,12.0,51.0,55.0,0.0,0.0,0.0,125985.0,0.0,0.0,610.1986749216177,91.5579988887566,23.81350271857761,8.4481042187562,0.0,11
110003,Jaru,2020,6,1,2,4,33.0,2.0,20.0,13.0,0.0,0.0,0.0,125985.0,0.0,0.0,746.8834254077866,24.683070444894234,24.802794539032423,8.29033075366115,0.04080644521173155,11
110003,Jaru,2021,9,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125985.0,0.0,0.0,891.3681503353573,30.086225026788902,,8.198635789974997,0.13999285629241576,11
110003,Jaru,2022,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125985.0,0.0,0.0,,,,,0.16799142755089888,11
110004,Ji-Paraná,2013,45,6,16,29,90.0,19.0,55.0,35.0,0.0,0.0,0.0,330105.0,0.0,0.0,395.13951466957485,207.6499542266855,23.894639220853968,9.187437239666169,0.0,11
110004,Ji-Paraná,2014,30,3,11,19,81.0,14.0,55.0,26.0,0.0,0.0,0.0,330105.0,0.0,0.0,443.4208965632146,199.20370282182947,24.424618257827056,9.191819269626329,0.0,11
110004,Ji-Paraná,2015,36,3,15,21,78.0,20.0,36.0,42.0,0.0,0.0,0.0,330105.0,0.0,0.0,462.2742774571728,169.70946656366917,24.029313097347814,9.182535102467396,0.0,11
110004,Ji-Paraná,2016,31,0,9,22,86.0,29.0,43.0,43.0,0.0,0.0,0.0,330105.0,0.0,0.0,513.9232118568333,141.4261574044622,24.22043486163493,9.022778237227548,0.0,11
110004,Ji-Paraná,2017,34,2,18,16,83.0,31.0,46.0,37.0,0.0,0.0,0.0,330105.0,0.0,0.0,525.7173739567712,118.67200699777342,24.736924433134913,8.844905530058616,0.0,11
110004,Ji-Paraná,2018,37,2,11,26,73.0,36.0,34.0,39.0,0.0,0.0,0.0,330105.0,0.0,0.0,567.4758033655957,99.59473058572271,25.81133766528832,8.651118795534757,0.0,11
110004,Ji-Paraná,2019,37,5,13,24,128.0,24.0,73.0,55.0,12.0,4.0,12.0,330105.0,2.4,2.4,641.6764876630164,86.90435767407342,25.65279841262629,8.440385574286971,0.0,11
110004,Ji-Paraná,2020,22,2,6,16,43.0,9.0,31.0,12.0,16.0,14.0,4.0,330105.0,2.0,8.0,786.3395725602459,24.5826102603717,26.124576119719485,8.220243892094938,0.032483603701852444,11
110004,Ji-Paraná,2021,42,3,14,28,0.0,0.0,0.0,0.0,16.0,19.0,0.0,330105.0,0.0,5.333333333333333,895.7993414519623,36.67488162857272,,8.136390966510657,0.13071901364717287,11
110004,Ji-Paraná,2022,15,1,5,10,0.0,0.0,0.0,0.0,17.0,11.0,1.0,330105.0,1.0,17.0,,,,,0.15686281637660746,11
110005,Cacoal,2013,22,2,7,15,124.0,6.0,66.0,58.0,0.0,0.0,0.0,324406.0,0.0,0.0,443.21093213442424,201.9140812438734,24.396065855748663,9.287701398864387,0.0,11
110005,Cacoal,2014,28,3,7,21,117.0,13.0,55.0,62.0,0.0,0.0,0.0,324406.0,0.0,0.0,502.9488937319284,182.40725686331322,25.323233201605394,9.272733858190046,0.0,11
110005,Cacoal,2015,30,4,13,17,118.0,35.0,79.0,39.0,0.0,0.0,0.0,324406.0,0.0,0.0,498.79816430645536,150.75436286628488,25.05549028069765,9.23665980283965,0.0,11
110005,Cacoal,2016,15,1,6,9,101.0,31.0,62.0,39.0,0.0,0.0,0.0,324406.0,0.0,0.0,546.6996983101423,117.87326374974572,25.4811095972331,9.056075781582338,0.0,11
110005,Cacoal,2017,28,1,11,17,80.0,27.0,50.0,29.0,0.0,0.0,0.0,324406.0,0.0,0.0,545.9089612091022,93.90998548115631,26.654909311171803,8.864038889539648,0.0,11
110005,Cacoal,2018,23,1,6,17,60.0,26.0,31.0,29.0,0.0,0.0,0.0,324406.0,0.0,0.0,592.3437039080658,85.96370390806581,26.00251703112766,8.658873263749749,0.0,11
110005,Cacoal,2019,24,3,6,18,62.0,19.0,40.0,22.0,0.0,0.0,0.0,324406.0,0.0,0.0,684.5899090645672,79.7067498135053,25.415712286455864,8.438050221019338,0.0,11
110005,Cacoal,2020,19,4,8,11,19.0,4.0,10.0,9.0,1.0,0.0,1.0,324406.0,0.25,0.25,772.5253586555119,25.603847123666025,26.456134442642856,8.20172321103802,0.033535138067729946,11
110005,Cacoal,2021,27,4,8,19,0.0,0.0,0.0,0.0,3.0,1.0,2.0,324406.0,0.5,0.75,900.7379639094222,38.47059046380153,,8.101491988434244,0.13627368174448068,11
110005,Cacoal,2022,14,3,1,13,0.0,0.0,0.0,0.0,6.0,0.0,3.0,324406.0,1.0,2.0,,,,,0.1635284180933768,11
110006,Vilhena,2013,36,1,18,18,70.0,14.0,36.0,34.0,0.0,0.0,0.0,158162.0,0.0,0.0,613.2446643315083,157.8171221911711,32.8080303106941,9.2222687497629,0.0,11
110006,Vilhena,2014,21,0,12,9,46.0,10.0,28.0,18.0,0.0,0.0,0.0,158162.0,0.0,0.0,733.6870167929086,157.746873332406,32.020337249149605,9.173384441269079,0.0,11
110006,Vilhena,2015,9,1,3,6,49.0,26.0,26.0,23.0,0.0,0.0,0.0,158162.0,0.0,0.0,707.4159776684666,134.43498254953784,30.142417078691466,9.116930425765986,0.0,11
110006,Vilhena,2016,15,0,7,8,37.0,16.0,23.0,14.0,0.0,0.0,0.0,158162.0,0.0,0.0,684.4789943222772,113.18380198783527,30.501290449033274,9.010072204448603,0.0,11
110006,Vilhena,2017,27,4,6,21,28.0,19.0,18.0,10.0,0.0,0.0,0.0,158162.0,0.0,0.0,731.2312207104108,89.93072634387528,31.16447269255573,8.887066868147848,0.0,11
110006,Vilhena,2018,20,0,9,11,37.0,13.0,29.0,8.0,1.0,1.0,1.0,158162.0,0.0,0.0,839.794134621464,89.6338722954945,31.18852859726104,8.763692669541356,0.0,11
110006,Vilhena,2019,16,2,5,11,31.0,9.0,25.0,6.0,1.0,2.0,0.0,158162.0,0.0,0.5,934.3428730036292,72.54990029210556,30.981925747018877,8.618769805642316,0.0,11
110006,Vilhena,2020,17,3,8,9,33.0,6.0,21.0,12.0,3.0,2.0,2.0,158162.0,0.6666666666666666,1.0,1018.8565911533743,20.6436681377322,31.81502883119839,8.446136429736601,0.043607187567177956,11
110006,Vilhena,2021,29,3,10,19,0.0,0.0,0.0,0.0,9.0,3.0,6.0,158162.0,2.0,3.0,1267.8169875191259,27.34628362059154,,8.369233697095385,0.14884738432746172,11
110006,Vilhena,2022,14,0,6,8,0.0,0.0,0.0,0.0,22.0,13.0,13.0,158162.0,0.0,0.0,,,,,0.17861686119295406,11
120001,Rio Branco,2013,55,2,27,28,496.0,113.0,227.0,269.0,0.0,0.0,0.0,468316.0,0.0,0.0,279.1406046985369,234.75269779379735,26.12429165349892,9.266426899785614,0.0,12
120001,Rio Branco,2014,57,10,20,37,265.0,74.0,127.0,138.0,0.0,0.0,0.0,468316.0,0.0,0.0,312.64598899033984,241.6906293400183,28.191469328402192,9.24351104809573,0.0,12
120001,Rio Branco,2015,50,2,20,30,141.0,149.0,64.0,77.0,0.0,0.0,0.0,468316.0,0.0,0.0,307.0298387840688,225.71130439703103,26.180565408826517,9.256846872624466,0.0,12
120001,Rio Branco,2016,52,13,10,42,140.0,114.0,66.0,74.0,0.0,0.0,0.0,468316.0,0.0,0.0,337.00778166878774,229.11767849059183,23.014505526183175,9.34885884744489,0.0,12
120001,Rio Branco,2017,59,5,23,36,153.0,132.0,76.0,77.0,0.0,0.0,0.0,468316.0,0.0,0.0,335.28403513866704,224.26642408117596,22.556667015434023,9.469575585715628,0.0,12
120001,Rio Branco,2018,82,18,20,62,129.0,100.0,55.0,74.0,1.0,0.0,1.0,468316.0,0.05555555555555555,0.05555555555555555,406.3859359492308,225.10591715849986,23.060824080321833,9.583807685408999,0.0,12
120001,Rio Branco,2019,66,18,16,50,121.0,99.0,85.0,36.0,1.0,0.0,0.0,468316.0,0.0,0.05555555555555555,384.1547968038675,222.09500732411445,22.227647955653875,9.685100252820744,0.0,12
120001,Rio Branco,2020,40,5,3,37,34.0,40.0,19.0,15.0,17.0,11.0,16.0,468316.0,3.2,3.4,455.0521286695308,65.35615832045029,21.580559387251345,9.752674967329751,0.047457272439976425,12
120001,Rio Branco,2021,94,21,15,79,0.0,0.0,0.0,0.0,66.0,44.0,49.0,468316.0,2.3333333333333335,3.142857142857143,460.9880596861948,103.50007646546348,,9.810208705233217,0.09901434074428378,12
120001,Rio Branco,2022,50,4,9,41,0.0,0.0,0.0,0.0,88.0,63.0,22.0,468316.0,5.5,22.0,,,,,0.11881720889314051,12
120002,Brasiléia,2013,7,0,0,7,64.0,0.0,36.0,28.0,0.0,0.0,0.0,66106.0,0.0,0.0,287.28690270172143,371.7991574138504,18.570852418842467,9.13234396272653,0.0,12
120002,Brasiléia,2014,4,1,0,4,21.0,2.0,13.0,8.0,0.0,0.0,0.0,66106.0,0.0,0.0,358.2857283756391,422.515118446132,18.460342177714576,9.270487550298006,0.0,12
120002,Brasiléia,2015,2,0,0,2,22.0,3.0,13.0,9.0,0.0,0.0,0.0,66106.0,0.0,0.0,310.95116615738357,389.75861192630015,18.326847336096574,9.43418812210692,0.0,12
120002,Brasiléia,2016,6,2,1,5,12.0,3.0,7.0,5.0,0.0,0.0,0.0,66106.0,0.0,0.0,408.5587191782894,386.3607587813512,19.54085665446404,9.426097177260765,0.0,12
120002,Brasiléia,2017,3,0,1,2,11.0,6.0,9.0,2.0,0.0,0.0,0.0,66106.0,0.0,0.0,370.7157962968566,382.69769748585605,19.22654569933138,9.451053308322996,0.0,12
120002,Brasiléia,2018,5,1,1,4,8.0,1.0,5.0,3.0,0.0,0.0,0.0,66106.0,0.0,0.0,486.1966665658185,364.85010150364565,19.250382264847367,9.480255498744441,0.0,12
120002,Brasiléia,2019,3,0,1,2,10.0,1.0,4.0,6.0,0.0,0.0,0.0,66106.0,0.0,0.0,508.35397482830604,356.46694505793727,18.545733367621697,9.502294042900795,0.0,12
120002,Brasiléia,2020,4,0,1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,66106.0,0.0,0.0,580.1746463255984,104.1778195625208,17.949817565727773,9.472745136598796,0.06755816416059057,12
120002,Brasiléia,2021,3,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66106.0,0.0,0.0,626.7615355640941,166.1143288052522,,9.493790427495234,0.14278582882037938,12
120002,Brasiléia,2022,6,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66106.0,0.0,0.0,,,,,0.17134299458445526,12
120003,Sena Madureira,2013,3,0,2,1,74.0,2.0,35.0,39.0,0.0,0.0,0.0,57237.0,0.0,0.0,280.41531736464174,534.5256510648705,14.862890088579066,9.458170588954697,0.0,12
120003,Sena Madureira,2014,6,2,3,3,45.0,0.0,17.0,28.0,0.0,0.0,0.0,57237.0,0.0,0.0,273.56868791166556,590.2812540838968,15.381350525010047,9.47119398291315,0.0,12
120003,Sena Madureira,2015,4,0,2,2,30.0,3.0,14.0,16.0,0.0,0.0,0.0,57237.0,0.0,0.0,268.9224356622464,555.2541555287663,14.310724531334627,9.516321260722957,0.0,12
120003,Sena Madureira,2016,7,0,4,3,35.0,3.0,22.0,13.0,0.0,0.0,0.0,57237.0,0.0,0.0,308.8572834005975,572.1755602145465,13.60425773538096,9.583685553051346,0.0,12
120003,Sena Madureira,2017,5,0,3,2,52.0,5.0,32.0,20.0,0.0,0.0,0.0,57237.0,0.0,0.0,298.85616401977745,601.449076122089,13.688786274612575,9.671622377133673,0.0,12
120003,Sena Madureira,2018,10,0,4,6,37.0,6.0,18.0,19.0,0.0,0.0,0.0,57237.0,0.0,0.0,422.65146321435435,639.0114506350789,13.313124377587926,9.759466079633805,0.0,12
120003,Sena Madureira,2019,6,0,3,3,31.0,0.0,19.0,12.0,0.0,0.0,0.0,57237.0,0.0,0.0,459.17284815766027,660.0109553261002,12.928017016964551,9.83635096179045,0.0,12
120003,Sena Madureira,2020,2,0,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,57237.0,0.0,0.0,548.2267162849206,225.79100075126226,12.777507905725317,9.878548666072644,0.0605727064660971,12
120003,Sena Madureira,2021,5,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57237.0,0.0,0.0,549.9336527071649,399.54358020161783,,9.959666823907611,0.13622307248807589,12
120003,Sena Madureira,2022,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57237.0,0.0,0.0,,,,,0.16346768698569106,12
120004,Cruzeiro do Sul,2013,2,0,1,1,176.0,0.0,89.0,87.0,0.0,0.0,0.0,145544.0,0.0,0.0,270.1917423596988,550.7923680124225,15.63511082559226,9.079531688011873,0.0,12
120004,Cruzeiro do Sul,2014,4,0,3,1,234.0,1.0,101.0,133.0,0.0,0.0,0.0,145544.0,0.0,0.0,345.41179347826085,592.953928708844,16.83412081569835,9.158970551860605,0.0,12
120004,Cruzeiro do Sul,2015,4,0,3,1,128.0,5.0,69.0,59.0,0.0,0.0,0.0,145544.0,0.0,0.0,289.48883588468095,552.2292662699939,14.520314818886384,9.2611246770736,0.0,12
120004,Cruzeiro do Sul,2016,4,0,2,2,165.0,6.0,99.0,66.0,0.0,0.0,0.0,145544.0,0.0,0.0,372.0600141537954,571.0240384351124,15.055686459077668,9.386905540592537,0.0,12
120004,Cruzeiro do Sul,2017,5,0,2,3,111.0,6.0,60.0,51.0,0.0,0.0,0.0,145544.0,0.0,0.0,346.91359355246533,585.8085812537789,14.964145619194198,9.545910308910022,0.0,12
120004,Cruzeiro do Sul,2018,6,0,0,6,126.0,5.0,72.0,54.0,0.0,0.0,0.0,145544.0,0.0,0.0,457.1129886494806,584.4479066811409,14.982220977848623,9.702205381190568,0.0,12
